ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species	Phylum_Cyano	nodesize
en_ASV_00059	nano	Eukaryota	Archaeplastida	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	Tetraselmis_sp	Chlorophyta	1
en_ASV_00074	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00077	nano	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_setoense	Ochrophyta	1
en_ASV_00096	nano	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-I	Syndiniales-Group-I-Clade-1	Syndiniales-Group-I-Clade-1_X	Syndiniales-Group-I-Clade-1_X_sp	Dinoflagellata	1
en_ASV_00109	nano	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_Clade-B.E.3	Chlorophyta	1
en_ASV_00114	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00119	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00140	nano	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-I	Syndiniales-Group-I-Clade-1	Syndiniales-Group-I-Clade-1_X	Syndiniales-Group-I-Clade-1_X_sp	Dinoflagellata	1
en_ASV_00161	nano	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-I	Syndiniales-Group-I-Clade-4	Syndiniales-Group-I-Clade-4_X	Syndiniales-Group-I-Clade-4_X_sp	Dinoflagellata	1
en_ASV_00198	nano	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-I	Syndiniales-Group-I-Clade-1	Syndiniales-Group-I-Clade-1_X	Syndiniales-Group-I-Clade-1_X_sp	Dinoflagellata	1
en_ASV_00207	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00218	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00247	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp	Dinoflagellata	1
en_ASV_00254	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00329	nano	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-I	Syndiniales-Group-I-Clade-1	Syndiniales-Group-I-Clade-1_X	Syndiniales-Group-I-Clade-1_X_sp	Dinoflagellata	1
en_ASV_00385	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00498	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Lepidodinium	Lepidodinium_chlorophorum	Dinoflagellata	1
en_ASV_00683	nano	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-III	Syndiniales-Group-III_X	Syndiniales-Group-III_XX	Syndiniales-Group-III_XX_sp	Dinoflagellata	1
en_ASV_00696	nano	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Cryptomonadales	Teleaulax	Teleaulax_sp	Cryptophyta	1
en_ASV_00727	nano	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Pelagomonas	Pelagomonas_calceolata	Ochrophyta	1
en_ASV_00820	nano	Eukaryota	Archaeplastida	Chlorophyta	Prasino-Clade-9	Prasino-Clade-9_X	Prasino-Clade-9-B	Prasino-Clade-9-B_X	Prasino-Clade-9-B_X_sp	Chlorophyta	1
en_ASV_00879	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_00969	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_01061	nano	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp	Dinoflagellata	1
en_ASV_01138	nano	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae	Strombidiidae_X	Strombidiidae_X_sp	Ciliophora	1
en_ASV_01234	nano	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Navicula	Navicula_sp	Ochrophyta	1
ep_ASV_00001	pico	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus_prasinos	Chlorophyta	1
ep_ASV_00002	pico	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_Clade-B.E.3	Chlorophyta	1
ep_ASV_00020	pico	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-I	Syndiniales-Group-I-Clade-1	Syndiniales-Group-I-Clade-1_X	Syndiniales-Group-I-Clade-1_X_sp	Dinoflagellata	1
ep_ASV_00045	pico	Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Pelagomonas	Pelagomonas_calceolata	Ochrophyta	1
ep_ASV_00047	pico	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas_Clade-B..4	Chlorophyta	1
ep_ASV_00087	pico	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Syndiniales-Group-I	Syndiniales-Group-I-Clade-4	Syndiniales-Group-I-Clade-4_X	Syndiniales-Group-I-Clade-4_X_sp	Dinoflagellata	1
ep_ASV_00132	pico	Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3E	MAST-3E_X	MAST-3E_X_sp	Stramenopiles_X	1
ep_ASV_00171	pico	Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-11	MAST-11_X	MAST-11_XX	MAST-11_XX_sp	Stramenopiles_X	1
ep_ASV_00196	pico	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Cryptomonadales	Proteomonas	Proteomonas_sulcata	Cryptophyta	1
