Sample	num_nodes	num_edges	edge_density	num_pos_edges	portion_pos_edges	num_neg_edges	portion_neg_edges	average_pos_association_strength	average_neg_association_strength	transitivity_global_clusering_coef	transitivity_ave_clustering_coef_mean_local	ave_path_length	diameter	mean_degree	degreecentralization	assortativity_nominal_EukProk	assortativity_nominal_Sizefraction	assortativity_degree	ave_node_betweenness	ave_edge_betweenness	betweennesscentralization	ave_closeness	closenesscentralization	closenesscentralization_disconnected_graphs	closenesscentralization_disconnected_graphs_normalized	count_nano	count_pico	count_euk	count_bac	count_en	count_ep	count_bn	count_bp	fraction_nano	fraction_pico	fraction_euk	fraction_bac	fraction_en	fraction_ep	fraction_bn	fraction_bp
BL0511	358	4678	0.0732047008747633	4558	0.974348011970928	120	0.0256519880290723	0.599236515357613	-0.5573538	0.574214915133952	0.579039628590088	3.07008023047418	8	26.1340782122905	0.229316307528598	0.131953301243962	0.356503538914669	0.341653359837493	345.223463687151	39.1819153484395	0.0764638343045994	0.000181008104316474	0.0129322586865034	131.021574886938	0.367007212568454	142	216	153	205	73	80	69	136	39.6648044692737	60.3351955307263	42.7374301675978	57.2625698324022	20.391061452514	22.3463687150838	19.2737430167598	37.9888268156425
BL0512	404	9241	0.113517431147581	9128	0.987771886159507	113	0.0122281138404935	0.607126693141981	-0.55896710619469	0.630036137490545	0.60583490480249	2.7573937750226	8	45.7475247524753	0.320725745031079	0.0889949227103802	0.249685062360651	0.201733778966564	336.819306930693	23.1041012877394	0.0711044522628635	0.000190953075928233	0.0143420881706884	170.163784771334	0.422242642112492	184	220	200	204	93	107	91	113	45.5445544554455	54.4554455445545	49.5049504950495	50.4950495049505	23.019801980198	26.4851485148515	22.5247524752475	27.970297029703
BL0601	356	12546	0.19854407342934	12430	0.990754025187311	116	0.0092459748126893	0.616982548431215	-0.562584534482759	0.658194576761404	0.658778058937582	2.22857790294908	6	70.4831460674157	0.36201930685235	0.0726000205593679	0.232790436456996	0.156579053987407	213.213483146067	10.9744938625857	0.0276533614047202	0.000450823427871339	0.038846174934813	186.415262172285	0.525113414569816	197	159	115	241	68	47	129	112	55.3370786516854	44.6629213483146	32.3033707865169	67.6966292134831	19.1011235955056	13.2022471910112	36.2359550561798	31.4606741573034
BL0602	324	9293	0.177598134770477	9189	0.988808780802755	104	0.0111912191972452	0.612124822069866	-0.562216788461538	0.646936383477488	0.64664957952006	2.37778692057521	7	57.3641975308642	0.336333753774414	0.0930542123324585	0.247270359001635	0.140253438991785	217.052469135802	13.0600451953083	0.0284326807403195	0.000484810076716893	0.0398097608086164	161.889623750735	0.501206265482151	169	155	120	204	47	73	122	82	52.1604938271605	47.8395061728395	37.037037037037	62.962962962963	14.5061728395062	22.5308641975309	37.6543209876543	25.3086419753086
BL0603	339	10061	0.175612225305894	9977	0.99165092933108	84	0.00834907066891959	0.614217142928736	-0.56349355952381	0.658736102951618	0.632603100353619	2.38328423470995	9	59.3569321533923	0.342139253984046	0.0887763562312802	0.234672833640797	0.134183552347901	220.23598820059	12.7853096113706	0.0271435926757133	0.000233445261914053	0.0138258133828774	164.076806199373	0.485434337867966	216	123	128	211	80	48	136	75	63.716814159292	36.283185840708	37.7581120943953	62.2418879056047	23.598820058997	14.1592920353982	40.117994100295	22.1238938053097
BL0604	133	538	0.0612895876053771	523	0.972118959107807	15	0.0278810408921933	0.603479588910134	-0.577357133333333	0.521706956092748	0.440570563500131	3.56052021632758	8	8.09022556390977	0.203861927546138	0.279232899807322	0.404132055378062	0.468001798505676	149.511278195489	51.3959107806691	0.151209823766272	0.000630315600898489	0.0281753367159139	40.9917114214107	0.31054326834402	83	50	57	76	37	20	46	30	62.406015037594	37.593984962406	42.8571428571429	57.1428571428571	27.8195488721804	15.0375939849624	34.5864661654135	22.5563909774436
BL0605	189	746	0.0419903185860633	688	0.922252010723861	58	0.0777479892761394	0.589060614825581	-0.557972655172414	0.418703406624516	0.405252195495617	3.55595380326563	11	7.89417989417989	0.128222447371384	0.436932273408852	0.521541047416843	0.370019075723317	203.746031746032	71.8150134048257	0.125000634568789	0.000269458710442027	0.0140263260365135	54.2686364781603	0.288662959990214	104	85	91	98	47	44	57	41	55.026455026455	44.973544973545	48.1481481481481	51.8518518518518	24.8677248677249	23.2804232804233	30.1587301587302	21.6931216931217
BL0606	277	1842	0.0481870977868466	1737	0.94299674267101	105	0.0570032573289902	0.582572207253886	-0.557166228571429	0.440225228318341	0.47174756534476	3.3305413412335	9	13.2996389891697	0.161957829749385	0.276687582584319	0.529552562777317	0.178904189425097	312.393501805054	67.1351791530945	0.116057763147121	0.000493442521204242	0.0452889303608183	95.5816228296373	0.346310227643613	143	134	109	168	54	55	89	79	51.6245487364621	48.3754512635379	39.3501805054152	60.6498194945848	19.4945848375451	19.85559566787	32.129963898917	28.5198555956679
BL0607	232	1375	0.0513136288998358	1335	0.970909090909091	40	0.0290909090909091	0.58378966741573	-0.5496342	0.450361010830325	0.484179950421376	3.29111654441728	9	11.8534482758621	0.217084639498433	0.315732135137582	0.51641339746137	0.294703129511788	242.344827586207	58.7374545454545	0.102083265889464	0.000315582648577874	0.0201604037736314	76.8525691023536	0.332695104339193	102	130	113	119	50	63	52	67	43.9655172413793	56.0344827586207	48.7068965517241	51.2931034482759	21.551724137931	27.1551724137931	22.4137931034483	28.8793103448276
BL0608	209	1448	0.0666175929333824	1410	0.973756906077348	38	0.0262430939226519	0.58518940070922	-0.540228763157895	0.429480476802199	0.483054095014114	2.89632302740661	7	13.8564593301435	0.217036253220464	0.28480162288503	0.474956504850839	0.262525936024746	186.057416267943	41.0165745856354	0.0987982736218354	0.000530492945715315	0.030896373614862	79.2692412850308	0.381102121562648	128	81	68	141	44	24	84	57	61.244019138756	38.755980861244	32.5358851674641	67.4641148325359	21.0526315789474	11.4832535885167	40.1913875598086	27.2727272727273
BL0609	269	1720	0.0477168063030572	1661	0.965697674418605	59	0.0343023255813954	0.577404220951234	-0.556663898305085	0.399548176946517	0.487802633967582	3.15851687814221	8	12.7881040892193	0.164969760861122	0.286319878592047	0.541056258668516	0.219144583365798	268.137546468401	61.3633720930233	0.0534376508282054	0.000275703978524417	0.0166318382116713	92.0290228359002	0.343391876253359	148	121	119	150	65	54	83	67	55.0185873605948	44.9814126394052	44.2379182156134	55.7620817843866	24.1635687732342	20.0743494423792	30.8550185873606	24.907063197026
