Source	Target	LS	Xs	Len	MutualInformation	percentage_co_occurrence	intersection	union	J
bn_ASV_000308	bn_ASV_000133	0.55648	1	120	0.543149	55.172414	48	87	0.551724137931034
bn_ASV_000308	bn_ASV_000146	0.537839	1	120	0.486409	55.952381	47	84	0.55952380952381
bn_ASV_000308	bn_ASV_000155	0.538645	1	120	0.541791	53.846154	49	91	0.538461538461538
bn_ASV_000308	bn_ASV_000184	0.630331	1	120	0.581652	64.383562	47	73	0.643835616438356
bn_ASV_000308	bn_ASV_000193	0.80409	1	120	0.795547	78.947368	45	57	0.789473684210526
bn_ASV_000308	bn_ASV_000197	0.732152	1	118	0.574887	63.793103	37	58	0.637931034482759
bn_ASV_000308	bn_ASV_000213	0.649428	1	120	0.67108	68.965517	40	58	0.689655172413793
bn_ASV_000308	bn_ASV_000226	0.840332	1	118	0.769165	75.925926	41	54	0.759259259259259
bn_ASV_000308	bn_ASV_000230	0.783374	3	118	0.765952	79.310345	46	58	0.793103448275862
bn_ASV_000308	bn_ASV_000244	0.594295	1	120	0.470353	63.636364	42	66	0.636363636363636
bn_ASV_000308	bn_ASV_000252	0.560956	1	120	0.477871	66.101695	39	59	0.661016949152542
bn_ASV_000308	bn_ASV_000257	0.516109	1	120	0.458673	56.140351	32	57	0.56140350877193
bn_ASV_000308	bn_ASV_000280	0.67454	1	118	0.611505	65.454545	36	55	0.654545454545455
bn_ASV_000308	bn_ASV_000302	0.738671	1	118	0.575834	65.454545	36	55	0.654545454545455
bn_ASV_000308	bn_ASV_000331	0.584711	1	118	0.396962	61.19403	41	67	0.611940298507463
bn_ASV_000308	bn_ASV_000333	0.653501	3	118	0.453699	64.285714	36	56	0.642857142857143
bn_ASV_000308	bn_ASV_000361	0.604045	1	120	0.552512	67.241379	39	58	0.672413793103448
bn_ASV_000308	bn_ASV_000398	0.811853	1	118	0.713492	77.358491	41	53	0.773584905660377
bn_ASV_000308	bn_ASV_000406	0.482692	5	116	0.41622	52.459016	32	61	0.524590163934426
bn_ASV_000308	bn_ASV_000431	0.604925	5	104	0.539271	62.5	35	56	0.625
bn_ASV_000308	bn_ASV_000457	0.860961	1	118	0.713328	74	37	50	0.74
bn_ASV_000308	bn_ASV_000476	0.703878	2	117	0.555833	59.615385	31	52	0.596153846153846
bn_ASV_000308	bn_ASV_000479	0.777902	1	118	0.580343	62	31	50	0.62
bn_ASV_000308	bn_ASV_000498	0.627805	1	120	0.499568	51.923077	27	52	0.519230769230769
bn_ASV_000308	bn_ASV_000528	0.698853	1	120	0.56082	60.377358	32	53	0.60377358490566
bn_ASV_000308	bn_ASV_000607	0.528687	5	115	0.440765	60.714286	34	56	0.607142857142857
bn_ASV_000308	bn_ASV_000652	0.643564	5	114	0.536661	52.830189	28	53	0.528301886792453
bn_ASV_000308	bn_ASV_000692	0.774278	1	120	0.571323	54	27	50	0.54
bn_ASV_000308	bn_ASV_000720	0.652919	2	119	0.531521	53.846154	28	52	0.538461538461538
bn_ASV_000308	bp_ASV_000059	0.622873	1	120	0.577674	57.894737	44	76	0.578947368421053
bn_ASV_000308	bp_ASV_000088	0.517445	1	120	0.566035	51.807229	43	83	0.518072289156627
bn_ASV_000308	bp_ASV_000102	0.556512	1	120	0.55101	56.164384	41	73	0.561643835616438
bn_ASV_000308	bp_ASV_000213	0.559929	1	120	0.533822	60.31746	38	63	0.603174603174603
bn_ASV_000308	bp_ASV_000222	0.576257	5	114	0.316643	53.333333	32	60	0.533333333333333
bn_ASV_000308	bp_ASV_000244	0.514028	5	116	0.480522	53.030303	35	66	0.53030303030303
bn_ASV_000308	bp_ASV_000271	0.552409	5	116	0.480881	54.237288	32	59	0.542372881355932
bn_ASV_000308	bp_ASV_000279	0.567048	3	118	0.544937	53.448276	31	58	0.53448275862069
bn_ASV_000308	bp_ASV_000302	0.516761	1	120	0.513542	51.724138	30	58	0.517241379310345
bn_ASV_000308	bp_ASV_000306	0.603608	1	120	0.578912	56.140351	32	57	0.56140350877193
bn_ASV_000308	bp_ASV_000311	0.521142	5	116	0.419172	50.769231	33	65	0.507692307692308
bn_ASV_000308	bp_ASV_000319	0.578833	5	116	0.480589	52.631579	30	57	0.526315789473684
bn_ASV_000308	bp_ASV_000348	0.546104	1	120	0.523568	52.380952	33	63	0.523809523809524
bn_ASV_000308	bp_ASV_000367	0.620976	1	118	0.526274	55	33	60	0.55
bn_ASV_000308	bp_ASV_000398	0.645676	1	118	0.365174	57.377049	35	61	0.573770491803279
bn_ASV_000308	bp_ASV_000415	0.562801	5	116	0.428521	53.571429	30	56	0.535714285714286
bn_ASV_000308	bp_ASV_000457	0.570794	3	116	0.474054	50.877193	29	57	0.508771929824561
bn_ASV_000308	bp_ASV_000599	0.691968	1	118	0.511359	56.363636	31	55	0.563636363636364
bn_ASV_000308	en_ASV_00016	0.737026	1	118	0.499263	61.428571	43	70	0.614285714285714
bn_ASV_000308	en_ASV_00053	0.553166	1	120	0.501639	55.128205	43	78	0.551282051282051
bn_ASV_000308	en_ASV_00092	0.756241	1	118	0.596942	65.277778	47	72	0.652777777777778
bn_ASV_000308	en_ASV_00406	0.671041	1	118	0.621243	61.818182	34	55	0.618181818181818
bn_ASV_000308	en_ASV_00472	0.552942	1	118	0.486272	58.75	47	80	0.5875
bn_ASV_000308	en_ASV_00547	0.600578	3	118	0.536264	64.285714	45	70	0.642857142857143
bn_ASV_000308	en_ASV_00583	0.768135	1	118	0.709065	70.689655	41	58	0.706896551724138
bn_ASV_000308	en_ASV_00636	0.695274	1	120	0.495103	63.076923	41	65	0.630769230769231
bn_ASV_000308	en_ASV_00683	0.637825	1	120	0.563049	65	39	60	0.65
bn_ASV_000308	en_ASV_00804	0.683457	1	118	0.553698	55.172414	32	58	0.551724137931034
bn_ASV_000308	en_ASV_00879	0.640159	1	118	0.647836	62.5	35	56	0.625
bn_ASV_000308	en_ASV_00954	0.665494	1	118	0.390791	58.928571	33	56	0.589285714285714
bn_ASV_000308	en_ASV_00983	0.659566	3	118	0.539067	61.538462	40	65	0.615384615384615
bn_ASV_000308	en_ASV_01061	0.547127	1	120	0.382684	54.385965	31	57	0.543859649122807
bn_ASV_000308	en_ASV_01063	0.594415	3	116	0.498869	69.354839	43	62	0.693548387096774
bn_ASV_000308	en_ASV_01073	0.53034	1	118	0.403149	54.098361	33	61	0.540983606557377
bn_ASV_000308	en_ASV_01138	0.538479	1	120	0.386499	58.928571	33	56	0.589285714285714
bn_ASV_000308	ep_ASV_00018	0.613918	1	120	0.517407	57.746479	41	71	0.577464788732394
bn_ASV_000308	ep_ASV_00127	0.584222	1	120	0.527005	58.823529	40	68	0.588235294117647
bn_ASV_000308	ep_ASV_00246	0.607018	1	120	0.62334	60.344828	35	58	0.603448275862069
bn_ASV_000308	ep_ASV_00301	0.593776	1	118	0.393511	58.62069	34	58	0.586206896551724
bn_ASV_000308	ep_ASV_00364	0.540523	1	106	0.42994	54.237288	32	59	0.542372881355932
bn_ASV_000311	bn_ASV_000037	0.635842	1	120	0.556077	51.948052	40	77	0.519480519480519
bn_ASV_000311	bn_ASV_000073	0.709439	1	120	0.601702	59.375	38	64	0.59375
bn_ASV_000311	bn_ASV_000107	0.627614	1	120	0.462394	61.904762	39	63	0.619047619047619
bn_ASV_000311	bn_ASV_000193	0.758107	1	120	0.584922	63.157895	36	57	0.631578947368421
bn_ASV_000311	bn_ASV_000213	0.816997	1	120	0.733611	71.153846	37	52	0.711538461538462
bn_ASV_000311	bn_ASV_000226	0.749848	1	120	0.601302	72	36	50	0.72
bn_ASV_000311	bn_ASV_000230	0.586056	1	120	0.476653	61.016949	36	59	0.610169491525424
bn_ASV_000311	bn_ASV_000244	0.506599	1	120	0.478211	65	39	60	0.65
bn_ASV_000311	bn_ASV_000252	0.607895	1	120	0.487449	71.153846	37	52	0.711538461538462
bn_ASV_000311	bn_ASV_000257	0.829577	1	120	0.71294	81.818182	36	44	0.818181818181818
bn_ASV_000311	bn_ASV_000262	0.599551	16	105	0.458589	52.631579	30	57	0.526315789473684
bn_ASV_000311	bn_ASV_000267	0.679366	1	120	0.542943	58.139535	25	43	0.581395348837209
bn_ASV_000311	bn_ASV_000282	0.482946	1	120	0.3866	51.515152	34	66	0.515151515151515
bn_ASV_000311	bn_ASV_000298	0.664454	12	109	0.431923	58	29	50	0.58
bn_ASV_000311	bn_ASV_000302	0.529739	1	118	0.418908	57.692308	30	52	0.576923076923077
bn_ASV_000311	bn_ASV_000308	0.602096	1	120	0.487308	56.896552	33	58	0.568965517241379
bn_ASV_000311	bn_ASV_000331	0.710365	1	118	0.380415	59.677419	37	62	0.596774193548387
bn_ASV_000311	bn_ASV_000361	0.560742	1	120	0.49809	66.037736	35	53	0.660377358490566
bn_ASV_000311	bn_ASV_000380	0.656253	4	117	0.536667	56.363636	31	55	0.563636363636364
bn_ASV_000311	bn_ASV_000406	0.676362	4	117	0.479486	55.555556	30	54	0.555555555555556
bn_ASV_000311	bn_ASV_000409	0.64548	4	117	0.468695	54.347826	25	46	0.543478260869565
bn_ASV_000311	bn_ASV_000411	0.540192	1	119	0.341167	51.923077	27	52	0.519230769230769
bn_ASV_000311	bn_ASV_000425	0.6525	1	120	0.508454	56	28	50	0.56
bn_ASV_000311	bn_ASV_000457	0.604177	1	120	0.423076	56	28	50	0.56
bn_ASV_000311	bn_ASV_000474	0.537108	1	118	0.435166	53.571429	30	56	0.535714285714286
bn_ASV_000311	bn_ASV_000476	0.541975	3	118	0.346669	51.020408	25	49	0.510204081632653
bn_ASV_000311	bn_ASV_000511	0.705981	4	117	0.479675	58.490566	31	53	0.584905660377358
bn_ASV_000311	bn_ASV_000528	0.808444	1	120	0.595565	68.888889	31	45	0.688888888888889
bn_ASV_000311	bn_ASV_000692	0.659642	1	120	0.327003	54.545455	24	44	0.545454545454545
bn_ASV_000311	bp_ASV_000102	0.654841	1	120	0.542995	56.716418	38	67	0.567164179104478
bn_ASV_000311	bp_ASV_000113	0.624689	1	120	0.449707	53.448276	31	58	0.53448275862069
bn_ASV_000311	bp_ASV_000213	0.68542	1	120	0.579177	58.62069	34	58	0.586206896551724
bn_ASV_000311	bp_ASV_000222	0.537098	1	120	0.28948	53.703704	29	54	0.537037037037037
bn_ASV_000311	bp_ASV_000244	0.570257	4	117	0.456672	55.932203	33	59	0.559322033898305
bn_ASV_000311	bp_ASV_000257	0.728832	1	120	0.520302	63.829787	30	47	0.638297872340426
bn_ASV_000311	bp_ASV_000271	0.58199	1	120	0.464441	54.716981	29	53	0.547169811320755
bn_ASV_000311	bp_ASV_000279	0.755224	2	119	0.548781	66.666667	32	48	0.666666666666667
bn_ASV_000311	bp_ASV_000306	0.586285	1	120	0.462373	53.846154	28	52	0.538461538461538
bn_ASV_000311	bp_ASV_000311	0.719397	4	117	0.530443	61.818182	34	55	0.618181818181818
bn_ASV_000311	bp_ASV_000348	0.603675	1	120	0.483099	52.631579	30	57	0.526315789473684
bn_ASV_000311	bp_ASV_000380	0.651648	12	109	0.414177	50.943396	27	53	0.509433962264151
bn_ASV_000311	bp_ASV_000457	0.495264	2	119	0.401284	50.980392	26	51	0.509803921568627
bn_ASV_000311	en_ASV_00053	0.617959	1	120	0.597687	51.351351	38	74	0.513513513513513
bn_ASV_000311	en_ASV_00092	0.567631	1	120	0.418543	50.684932	37	73	0.506849315068493
bn_ASV_000311	en_ASV_00406	0.527304	1	108	0.392224	56.862745	29	51	0.568627450980392
bn_ASV_000311	en_ASV_00504	0.533048	1	108	0.3885	56.140351	32	57	0.56140350877193
bn_ASV_000311	en_ASV_00547	0.696532	1	120	0.454391	53.623188	37	69	0.536231884057971
bn_ASV_000311	en_ASV_00570	0.745549	1	120	0.620206	76.923077	40	52	0.769230769230769
bn_ASV_000311	en_ASV_00636	0.694956	1	120	0.522691	61.666667	37	60	0.616666666666667
bn_ASV_000311	en_ASV_00683	0.711451	1	120	0.567597	66.666667	36	54	0.666666666666667
bn_ASV_000311	en_ASV_00715	0.655562	1	118	0.501197	56.140351	32	57	0.56140350877193
bn_ASV_000311	en_ASV_00848	0.601599	1	118	0.41215	52.727273	29	55	0.527272727272727
bn_ASV_000311	en_ASV_00879	0.675765	1	118	0.5402	60.784314	31	51	0.607843137254902
bn_ASV_000311	en_ASV_00954	0.563287	1	118	0.33651	53.846154	28	52	0.538461538461538
bn_ASV_000311	en_ASV_00969	0.623745	1	118	0.495201	62	31	50	0.62
bn_ASV_000311	en_ASV_00983	0.620499	1	120	0.489141	54.83871	34	62	0.548387096774194
bn_ASV_000311	en_ASV_01061	0.807393	1	120	0.540322	75.555556	34	45	0.755555555555556
bn_ASV_000311	en_ASV_01073	0.501648	1	118	0.340581	54.545455	30	55	0.545454545454545
bn_ASV_000311	en_ASV_01138	0.636232	5	116	0.387096	56.862745	29	51	0.568627450980392
bn_ASV_000311	en_ASV_01194	0.544509	1	118	0.450084	61.22449	30	49	0.612244897959184
bn_ASV_000311	ep_ASV_00029	0.558166	2	119	0.333888	57.8125	37	64	0.578125
bn_ASV_000311	ep_ASV_00070	0.525169	1	120	0.439077	61.111111	33	54	0.611111111111111
bn_ASV_000311	ep_ASV_00127	0.545085	1	120	0.417498	52.307692	34	65	0.523076923076923
bn_ASV_000311	ep_ASV_00246	0.553895	1	120	0.442928	52.727273	29	55	0.527272727272727
bn_ASV_000314	bn_ASV_000017	0.502951	1	118	0.377254	58.974359	46	78	0.58974358974359
bn_ASV_000314	bn_ASV_000037	0.84145	1	120	0.755382	64.473684	49	76	0.644736842105263
bn_ASV_000314	bn_ASV_000039	0.825074	1	120	0.674402	72.058824	49	68	0.720588235294118
bn_ASV_000314	bn_ASV_000059	0.743607	1	120	0.726886	68.571429	48	70	0.685714285714286
bn_ASV_000314	bn_ASV_000073	0.753111	1	120	0.756754	80.327869	49	61	0.80327868852459
bn_ASV_000314	bn_ASV_000078	0.639437	1	120	0.534888	61.538462	48	78	0.615384615384615
bn_ASV_000314	bn_ASV_000080	0.596668	1	120	0.612712	60.273973	44	73	0.602739726027397
bn_ASV_000314	bn_ASV_000088	0.723645	1	120	0.574335	56.976744	49	86	0.569767441860465
bn_ASV_000314	bn_ASV_000089	0.54793	1	120	0.452095	58.974359	46	78	0.58974358974359
bn_ASV_000314	bn_ASV_000092	0.657396	1	120	0.562145	55.952381	47	84	0.55952380952381
bn_ASV_000314	bn_ASV_000102	0.648224	3	118	0.596877	61.538462	48	78	0.615384615384615
bn_ASV_000314	bn_ASV_000107	0.690611	1	120	0.61237	77.419355	48	62	0.774193548387097
bn_ASV_000314	bn_ASV_000125	0.718424	1	120	0.649403	55.172414	48	87	0.551724137931034
bn_ASV_000314	bn_ASV_000129	0.530844	1	118	0.282462	51.111111	46	90	0.511111111111111
bn_ASV_000314	bn_ASV_000133	0.553563	1	120	0.471362	52.272727	46	88	0.522727272727273
bn_ASV_000314	bn_ASV_000170	0.786446	1	120	0.848409	88.235294	45	51	0.882352941176471
bn_ASV_000314	bn_ASV_000176	0.625155	5	116	0.599223	58.823529	30	51	0.588235294117647
bn_ASV_000314	bn_ASV_000184	0.588814	1	120	0.512975	60.810811	45	74	0.608108108108108
bn_ASV_000314	bn_ASV_000193	0.812687	1	120	0.832598	90.566038	48	53	0.905660377358491
bn_ASV_000314	bn_ASV_000197	0.682832	1	118	0.50529	62.068966	36	58	0.620689655172414
bn_ASV_000314	bn_ASV_000210	0.756756	3	118	0.738755	78.947368	45	57	0.789473684210526
bn_ASV_000314	bn_ASV_000213	0.684566	1	120	0.734068	83.018868	44	53	0.830188679245283
bn_ASV_000314	bn_ASV_000226	0.836276	1	120	0.821253	88	44	50	0.88
bn_ASV_000314	bn_ASV_000230	0.811146	1	120	0.723948	83.928571	47	56	0.839285714285714
bn_ASV_000314	bn_ASV_000232	0.675676	1	120	0.735887	79.245283	42	53	0.792452830188679
bn_ASV_000314	bn_ASV_000239	0.498152	3	118	0.44001	66.666667	42	63	0.666666666666667
bn_ASV_000314	bn_ASV_000244	0.729415	1	120	0.614626	75.409836	46	61	0.754098360655738
bn_ASV_000314	bn_ASV_000252	0.707853	3	118	0.591279	76.363636	42	55	0.763636363636364
bn_ASV_000314	bn_ASV_000257	0.500152	1	120	0.450535	62.962963	34	54	0.62962962962963
bn_ASV_000314	bn_ASV_000271	0.748793	1	120	0.751372	86.27451	44	51	0.862745098039216
bn_ASV_000314	bn_ASV_000280	0.756997	1	120	0.660774	76.470588	39	51	0.764705882352941
bn_ASV_000314	bn_ASV_000290	0.769925	1	120	0.673361	76	38	50	0.76
bn_ASV_000314	bn_ASV_000294	0.599956	5	116	0.619752	68	34	50	0.68
bn_ASV_000314	bn_ASV_000298	0.504361	13	108	0.438402	61.111111	33	54	0.611111111111111
bn_ASV_000314	bn_ASV_000302	0.887812	1	118	0.723136	80	40	50	0.8
bn_ASV_000314	bn_ASV_000306	0.738745	1	120	0.73047	78	39	50	0.78
bn_ASV_000314	bn_ASV_000308	0.764272	1	120	0.705509	76.785714	43	56	0.767857142857143
bn_ASV_000314	bn_ASV_000311	0.520453	1	120	0.560305	66.666667	36	54	0.666666666666667
bn_ASV_000314	bn_ASV_000320	0.585759	1	120	0.525452	62.264151	33	53	0.622641509433962
bn_ASV_000314	bn_ASV_000331	0.556242	1	120	0.347696	57.352941	39	68	0.573529411764706
bn_ASV_000314	bn_ASV_000333	0.727877	2	119	0.590204	78.431373	40	51	0.784313725490196
bn_ASV_000314	bn_ASV_000348	0.690052	1	120	0.574818	68.421053	39	57	0.684210526315789
bn_ASV_000314	bn_ASV_000361	0.695229	1	120	0.598464	74.545455	41	55	0.745454545454545
bn_ASV_000314	bn_ASV_000378	0.836148	1	120	0.80078	86	43	50	0.86
bn_ASV_000314	bn_ASV_000398	0.772856	3	118	0.71649	82.352941	42	51	0.823529411764706
bn_ASV_000314	bn_ASV_000411	0.647515	1	119	0.404526	64.150943	34	53	0.641509433962264
bn_ASV_000314	bn_ASV_000425	0.490228	16	105	0.498532	56.363636	31	55	0.563636363636364
bn_ASV_000314	bn_ASV_000431	0.590501	5	116	0.497032	63.636364	35	55	0.636363636363636
bn_ASV_000314	bn_ASV_000457	0.783894	1	120	0.714272	75.510204	37	49	0.755102040816326
bn_ASV_000314	bn_ASV_000474	0.519605	1	118	0.4486	56.666667	34	60	0.566666666666667
bn_ASV_000314	bn_ASV_000476	0.696233	3	118	0.527925	67.346939	33	49	0.673469387755102
bn_ASV_000314	bn_ASV_000479	0.653072	1	120	0.508378	60	30	50	0.6
bn_ASV_000314	bn_ASV_000484	0.652002	2	117	0.466086	64.814815	35	54	0.648148148148148
bn_ASV_000314	bn_ASV_000498	0.512288	1	120	0.480837	56	28	50	0.56
bn_ASV_000314	bn_ASV_000510	0.631556	3	118	0.504499	60.784314	31	51	0.607843137254902
bn_ASV_000314	bn_ASV_000511	0.625899	5	116	0.572916	67.272727	37	55	0.672727272727273
bn_ASV_000314	bn_ASV_000525	0.650791	1	118	0.4943	53.061224	26	49	0.530612244897959
bn_ASV_000314	bn_ASV_000528	0.601399	1	120	0.572192	68	34	50	0.68
bn_ASV_000314	bn_ASV_000596	0.652214	1	118	0.540414	63.265306	31	49	0.63265306122449
bn_ASV_000314	bn_ASV_000607	0.670007	1	119	0.522616	71.153846	37	52	0.711538461538462
bn_ASV_000314	bn_ASV_000652	0.577303	5	114	0.48861	53.846154	28	52	0.538461538461538
bn_ASV_000314	bn_ASV_000692	0.618288	1	120	0.41915	55.102041	27	49	0.551020408163265
bn_ASV_000314	bn_ASV_000717	0.674339	1	118	0.546399	66	33	50	0.66
bn_ASV_000314	bn_ASV_000720	0.650059	3	118	0.5395	61.22449	30	49	0.612244897959184
bn_ASV_000314	bn_ASV_000814	0.665215	1	120	0.526022	63.265306	31	49	0.63265306122449
bn_ASV_000314	bn_ASV_000846	0.614916	5	116	0.459901	51.020408	25	49	0.510204081632653
bn_ASV_000314	bp_ASV_000039	0.749792	1	120	0.638323	67.142857	47	70	0.671428571428571
bn_ASV_000314	bp_ASV_000059	0.708814	1	120	0.632616	65.277778	47	72	0.652777777777778
bn_ASV_000314	bp_ASV_000080	0.499062	5	116	0.460767	52.325581	45	86	0.523255813953488
bn_ASV_000314	bp_ASV_000088	0.599883	1	120	0.569688	58.227848	46	79	0.582278481012658
bn_ASV_000314	bp_ASV_000102	0.611599	1	120	0.614264	63.768116	44	69	0.63768115942029
bn_ASV_000314	bp_ASV_000113	0.52617	16	105	0.450713	61.666667	37	60	0.616666666666667
bn_ASV_000314	bp_ASV_000124	0.523412	1	120	0.431514	55.555556	45	81	0.555555555555556
bn_ASV_000314	bp_ASV_000132	0.500186	1	120	0.488567	56.578947	43	76	0.565789473684211
bn_ASV_000314	bp_ASV_000170	0.666309	1	120	0.687756	76.363636	42	55	0.763636363636364
bn_ASV_000314	bp_ASV_000193	0.653495	1	120	0.655766	72.881356	43	59	0.728813559322034
bn_ASV_000314	bp_ASV_000213	0.587152	1	120	0.627845	72.413793	42	58	0.724137931034483
bn_ASV_000314	bp_ASV_000222	0.687844	1	120	0.439939	65.454545	36	55	0.654545454545455
bn_ASV_000314	bp_ASV_000230	0.557743	1	118	0.41684	59.701493	40	67	0.597014925373134
bn_ASV_000314	bp_ASV_000244	0.57704	2	119	0.550916	63.934426	39	61	0.639344262295082
bn_ASV_000314	bp_ASV_000271	0.614254	1	120	0.674134	73.076923	38	52	0.730769230769231
bn_ASV_000314	bp_ASV_000279	0.55611	2	119	0.504881	62.962963	34	54	0.62962962962963
bn_ASV_000314	bp_ASV_000302	0.606975	1	120	0.591367	64.150943	34	53	0.641509433962264
bn_ASV_000314	bp_ASV_000304	0.599284	1	120	0.469312	58.730159	37	63	0.587301587301587
bn_ASV_000314	bp_ASV_000306	0.640551	1	120	0.610346	66.037736	35	53	0.660377358490566
bn_ASV_000314	bp_ASV_000311	0.494438	5	116	0.488056	61.666667	37	60	0.616666666666667
bn_ASV_000314	bp_ASV_000319	0.630746	1	120	0.52348	62.264151	33	53	0.622641509433962
bn_ASV_000314	bp_ASV_000348	0.543692	1	120	0.569296	61.016949	36	59	0.610169491525424
bn_ASV_000314	bp_ASV_000367	0.652538	1	120	0.509946	64.285714	36	56	0.642857142857143
bn_ASV_000314	bp_ASV_000398	0.653546	1	120	0.412626	63.793103	37	58	0.637931034482759
bn_ASV_000314	bp_ASV_000402	0.586943	2	119	0.436283	58.62069	34	58	0.586206896551724
bn_ASV_000314	bp_ASV_000415	0.582506	1	120	0.505916	63.461538	33	52	0.634615384615385
bn_ASV_000314	bp_ASV_000457	0.603206	2	119	0.540431	60.377358	32	53	0.60377358490566
bn_ASV_000314	bp_ASV_000462	0.573274	1	120	0.449069	57.142857	32	56	0.571428571428571
bn_ASV_000314	bp_ASV_000599	0.706822	1	120	0.577594	66.666667	34	51	0.666666666666667
bn_ASV_000314	en_ASV_00016	0.758897	1	118	0.516904	69.69697	46	66	0.696969696969697
bn_ASV_000314	en_ASV_00053	0.689156	1	120	0.594083	62.162162	46	74	0.621621621621622
bn_ASV_000314	en_ASV_00092	0.776967	1	120	0.586686	68.571429	48	70	0.685714285714286
bn_ASV_000314	en_ASV_00096	0.487268	1	120	0.204877	55.263158	42	76	0.552631578947368
bn_ASV_000314	en_ASV_00112	0.61718	1	120	0.292704	56.097561	46	82	0.560975609756098
bn_ASV_000314	en_ASV_00197	0.533065	1	116	0.392328	50.666667	38	75	0.506666666666667
bn_ASV_000314	en_ASV_00206	0.553201	1	120	0.452293	53.658537	44	82	0.536585365853659
bn_ASV_000314	en_ASV_00366	0.527536	1	120	0.448921	60.31746	38	63	0.603174603174603
bn_ASV_000314	en_ASV_00406	0.689694	1	120	0.635484	69.230769	36	52	0.692307692307692
bn_ASV_000314	en_ASV_00472	0.531905	1	120	0.427338	57.5	46	80	0.575
bn_ASV_000314	en_ASV_00547	0.627123	1	120	0.500025	62.857143	44	70	0.628571428571429
bn_ASV_000314	en_ASV_00570	0.719501	1	120	0.583594	72.413793	42	58	0.724137931034483
bn_ASV_000314	en_ASV_00583	0.756502	1	118	0.661918	68.965517	40	58	0.689655172413793
bn_ASV_000314	en_ASV_00612	0.488108	1	120	0.292258	50.847458	30	59	0.508474576271186
bn_ASV_000314	en_ASV_00636	0.66495	1	120	0.546319	69.354839	43	62	0.693548387096774
bn_ASV_000314	en_ASV_00683	0.727315	1	120	0.596898	71.929825	41	57	0.719298245614035
bn_ASV_000314	en_ASV_00715	0.751303	1	118	0.639725	76.363636	42	55	0.763636363636364
bn_ASV_000314	en_ASV_00751	0.502011	17	104	0.496546	57.971014	40	69	0.579710144927536
bn_ASV_000314	en_ASV_00804	0.750708	1	118	0.532311	67.924528	36	53	0.679245283018868
bn_ASV_000314	en_ASV_00848	0.496726	1	118	0.42053	50.819672	31	61	0.508196721311475
bn_ASV_000314	en_ASV_00879	0.721616	1	118	0.639415	73.076923	38	52	0.730769230769231
bn_ASV_000314	en_ASV_00954	0.676427	1	118	0.49912	66.037736	35	53	0.660377358490566
bn_ASV_000314	en_ASV_00969	0.628184	1	118	0.513998	58.928571	33	56	0.589285714285714
bn_ASV_000314	en_ASV_00983	0.663767	1	120	0.612317	70.491803	43	61	0.704918032786885
bn_ASV_000314	en_ASV_01061	0.599207	1	120	0.435916	61.111111	33	54	0.611111111111111
bn_ASV_000314	en_ASV_01063	0.632186	1	120	0.467588	65.079365	41	63	0.650793650793651
bn_ASV_000314	en_ASV_01073	0.606671	6	113	0.525962	66.071429	37	56	0.660714285714286
bn_ASV_000314	en_ASV_01138	0.525862	4	117	0.364545	62.962963	34	54	0.62962962962963
bn_ASV_000314	en_ASV_01180	0.706806	1	120	0.629535	68.421053	39	57	0.684210526315789
bn_ASV_000314	en_ASV_01194	0.60088	1	118	0.503268	61.111111	33	54	0.611111111111111
bn_ASV_000314	ep_ASV_00001	0.632613	1	118	0.488252	50.549451	46	91	0.505494505494505
bn_ASV_000314	ep_ASV_00018	0.693882	1	120	0.582266	65.671642	44	67	0.656716417910448
bn_ASV_000314	ep_ASV_00029	0.673166	2	119	0.426326	67.692308	44	65	0.676923076923077
bn_ASV_000314	ep_ASV_00032	0.600632	1	111	0.408981	62.318841	43	69	0.623188405797101
bn_ASV_000314	ep_ASV_00037	0.679381	1	120	0.573353	52.941176	45	85	0.529411764705882
bn_ASV_000314	ep_ASV_00040	0.57488	1	118	0.371128	54.098361	33	61	0.540983606557377
bn_ASV_000314	ep_ASV_00070	0.715944	1	120	0.68741	75.925926	41	54	0.759259259259259
bn_ASV_000314	ep_ASV_00084	0.649134	1	120	0.650658	71.428571	40	56	0.714285714285714
bn_ASV_000314	ep_ASV_00127	0.65863	1	120	0.568237	67.1875	43	64	0.671875
bn_ASV_000314	ep_ASV_00162	0.617013	1	118	0.380881	50.877193	29	57	0.508771929824561
bn_ASV_000314	ep_ASV_00213	0.556025	1	120	0.509723	54.166667	39	72	0.541666666666667
bn_ASV_000314	ep_ASV_00215	0.528439	3	118	0.444536	56.756757	42	74	0.567567567567568
bn_ASV_000314	ep_ASV_00216	0.495169	4	117	0.278964	51.612903	32	62	0.516129032258065
bn_ASV_000314	ep_ASV_00246	0.668348	5	116	0.55753	67.272727	37	55	0.672727272727273
bn_ASV_000314	ep_ASV_00264	0.546465	1	107	0.345732	57.627119	34	59	0.576271186440678
bn_ASV_000314	ep_ASV_00301	0.659758	1	120	0.461032	62.5	35	56	0.625
bn_ASV_000314	ep_ASV_00317	0.531628	1	120	0.497381	60.31746	38	63	0.603174603174603
bn_ASV_000314	ep_ASV_00350	0.606204	2	119	0.381888	63.793103	37	58	0.637931034482759
bn_ASV_000314	ep_ASV_00364	0.560182	1	120	0.539104	60.714286	34	56	0.607142857142857
bn_ASV_000314	ep_ASV_00401	0.538678	1	120	0.386244	53.333333	32	60	0.533333333333333
