Source	Target	LS	Xs	Len	MutualInformation	percentage_co_occurrence	intersection	union	J
bn_ASV_000037	en_ASV_00636	0.697487	1	120	0.658131	60.97561	50	82	0.609756097560976
bn_ASV_000037	en_ASV_00683	0.677379	1	120	0.624413	60.25641	47	78	0.602564102564103
bn_ASV_000037	en_ASV_00715	0.76439	1	118	0.56656	58.974359	46	78	0.58974358974359
bn_ASV_000037	en_ASV_00879	0.683245	1	118	0.693188	51.948052	40	77	0.519480519480519
bn_ASV_000037	en_ASV_00954	0.664491	1	118	0.509254	51.315789	39	76	0.513157894736842
bn_ASV_000037	en_ASV_00983	0.680898	1	120	0.637702	63.75	51	80	0.6375
bn_ASV_000037	en_ASV_01063	0.641688	1	120	0.531169	65.822785	52	79	0.658227848101266
bn_ASV_000037	en_ASV_01073	0.549787	3	116	0.487978	55.844156	43	77	0.558441558441558
bn_ASV_000037	ep_ASV_00018	0.703809	1	120	0.554956	64.285714	54	84	0.642857142857143
bn_ASV_000037	ep_ASV_00029	0.62676	2	119	0.450652	63.855422	53	83	0.63855421686747
bn_ASV_000037	ep_ASV_00032	0.567568	1	110	0.406663	61.627907	53	86	0.616279069767442
bn_ASV_000037	ep_ASV_00037	0.645945	1	120	0.607706	61.85567	60	97	0.618556701030928
bn_ASV_000037	ep_ASV_00070	0.709765	1	120	0.670193	58.441558	45	77	0.584415584415584
bn_ASV_000037	ep_ASV_00127	0.641466	1	120	0.520344	59.52381	50	84	0.595238095238095
bn_ASV_000037	ep_ASV_00213	0.545738	1	120	0.530997	58.62069	51	87	0.586206896551724
bn_ASV_000037	ep_ASV_00246	0.603566	1	120	0.603489	50.632911	40	79	0.506329113924051
bn_ASV_000037	ep_ASV_00350	0.567029	2	119	0.375782	52.5	42	80	0.525
bn_ASV_000037	ep_ASV_00460	0.501365	1	120	0.401114	55.421687	46	83	0.55421686746988
bn_ASV_000038	bn_ASV_000001	-0.61696	1	120	0.344028	70	84	120	0.7
bn_ASV_000038	bn_ASV_000017	0.635532	1	120	0.413341	64	64	100	0.64
bn_ASV_000038	bn_ASV_000020	-0.542152	1	111	0.359848	58.62069	68	116	0.586206896551724
bn_ASV_000038	bn_ASV_000025	-0.59168	2	117	0.288478	52.173913	60	115	0.521739130434783
bn_ASV_000038	bn_ASV_000032	0.644002	2	117	0.516598	83.018868	88	106	0.830188679245283
bn_ASV_000038	bn_ASV_000033	0.557165	1	120	0.410194	68.316832	69	101	0.683168316831683
bn_ASV_000038	bn_ASV_000036	0.592502	1	120	0.438923	71.568627	73	102	0.715686274509804
bn_ASV_000038	bn_ASV_000059	0.528447	1	119	0.4351	62.886598	61	97	0.628865979381443
bn_ASV_000038	bn_ASV_000072	0.583845	1	120	0.459888	61.052632	58	95	0.610526315789474
bn_ASV_000038	bn_ASV_000078	0.538026	1	119	0.32937	67.676768	67	99	0.676767676767677
bn_ASV_000038	bn_ASV_000089	0.532161	1	119	0.458722	70.833333	68	96	0.708333333333333
bn_ASV_000038	bn_ASV_000151	0.602046	1	118	0.488327	69.791667	67	96	0.697916666666667
bn_ASV_000038	bn_ASV_000203	0.483008	1	120	0.327512	54.83871	51	93	0.548387096774194
bn_ASV_000038	bn_ASV_000397	0.55166	2	119	0.314741	60.43956	55	91	0.604395604395604
bn_ASV_000038	bp_ASV_000036	0.513517	1	120	0.422466	67.592593	73	108	0.675925925925926
bn_ASV_000038	bp_ASV_000038	0.641302	1	120	0.557891	70.909091	78	110	0.709090909090909
bn_ASV_000038	en_ASV_00077	0.519999	1	120	0.26028	68.367347	67	98	0.683673469387755
bn_ASV_000039	bn_ASV_000001	-0.724112	1	118	0.516745	52.5	63	120	0.525
bn_ASV_000039	bn_ASV_000017	0.786377	1	118	0.571416	81.012658	64	79	0.810126582278481
bn_ASV_000039	bn_ASV_000026	0.710367	1	120	0.552158	60.784314	62	102	0.607843137254902
bn_ASV_000039	bn_ASV_000036	0.632096	1	118	0.433935	65.591398	61	93	0.655913978494624
bn_ASV_000039	bn_ASV_000037	0.862877	1	120	0.779905	80	64	80	0.8
bn_ASV_000039	bn_ASV_000059	0.887304	1	120	0.849888	80.263158	61	76	0.802631578947368
bn_ASV_000039	bn_ASV_000072	0.508986	1	118	0.392938	62.962963	51	81	0.62962962962963
